epoch,micro_f1,macro_f1,ndcg_at_5,mrr_at_5,map,micro_f1_yf,macro_f1_yf,ndcg_at_5_yf,mrr_at_5_yf,map_yf
23,0.14285714285714288,0.15621702070085242,0.3511,0.3206,0.3061,0.16770186335403725,0.18097710644323814,0.3927,0.3654,0.3417
24,0.16149068322981366,0.1710526315789474,0.3276,0.2816,0.274,0.19254658385093168,0.20480480480480487,0.3992,0.3443,0.3355
25,0.15527950310559002,0.1675799668663184,0.3108,0.2623,0.2523,0.1863354037267081,0.19858925664677166,0.3807,0.3215,0.3102
26,0.14285714285714288,0.15566146932661543,0.2851,0.2417,0.236,0.2049689440993789,0.21892967713401154,0.3687,0.3004,0.2933
27,0.14285714285714288,0.1570912012856569,0.31,0.2592,0.2513,0.18012422360248445,0.19355802756101614,0.3808,0.3421,0.3226
28,0.16149068322981366,0.17485380116959068,0.3141,0.2645,0.2456,0.2111801242236025,0.22368421052631587,0.3992,0.3325,0.3143
29,0.17391304347826086,0.18709382151029752,0.3222,0.2868,0.2497,0.21739130434782605,0.22964361576587214,0.4025,0.3346,0.3179
30,0.17391304347826086,0.18709382151029752,0.3213,0.2662,0.2563,0.2236024844720497,0.23559775094478758,0.4037,0.3364,0.3282
31,0.16149068322981366,0.1757605021728634,0.3263,0.2557,0.2491,0.2049689440993789,0.2184481823114488,0.4081,0.336,0.318
32,0.16770186335403725,0.18051209103840687,0.3091,0.2461,0.2427,0.1863354037267081,0.19810395554102653,0.3749,0.3132,0.3118
33,0.18012422360248445,0.19152485067057368,0.328,0.2693,0.2672,0.21739130434782605,0.23001600602579797,0.3893,0.3167,0.3214
34,0.17391304347826086,0.18859367067185656,0.3448,0.2855,0.2833,0.2111801242236025,0.22562929061784906,0.4131,0.336,0.3377
35,0.16770186335403725,0.17933101546577151,0.311,0.2522,0.2465,0.2111801242236025,0.22526889430661123,0.3787,0.3123,0.307
36,0.18012422360248445,0.19320453031312462,0.302,0.2276,0.223,0.21739130434782605,0.23160686863046215,0.3629,0.2807,0.2732
37,0.19254658385093168,0.20480480480480484,0.35,0.275,0.2681,0.22981366459627328,0.24476547016075753,0.4044,0.3241,0.3094
38,0.16770186335403725,0.18051209103840687,0.3357,0.2658,0.2629,0.2049689440993789,0.22023543146220456,0.379,0.3079,0.3072
39,0.14906832298136646,0.16401051349445478,0.3069,0.2684,0.2651,0.16770186335403725,0.18379153991849856,0.3392,0.2921,0.2911
40,0.17391304347826086,0.18893387314439947,0.3146,0.2531,0.248,0.2049689440993789,0.21964521331183115,0.3618,0.289,0.2836
41,0.18012422360248445,0.1940259024524663,0.3369,0.2746,0.2702,0.19254658385093168,0.20777138157894742,0.3832,0.3263,0.3221
42,0.16770186335403725,0.17625717282655645,0.3336,0.2965,0.28,0.2111801242236025,0.2268165926485874,0.41,0.3658,0.3437
43,0.17391304347826086,0.1853096830473975,0.2948,0.2373,0.2297,0.2049689440993789,0.21784121320249783,0.368,0.3053,0.2911
44,0.16149068322981366,0.1745094443425638,0.2762,0.211,0.2177,0.1863354037267081,0.20049108572648663,0.3469,0.2868,0.2835
45,0.1863354037267081,0.2008408280559843,0.376,0.3162,0.3151,0.19254658385093168,0.20648412739647742,0.4032,0.3553,0.3488
46,0.15527950310559002,0.1674641148325359,0.2728,0.2298,0.2272,0.1987577639751553,0.21027912246369354,0.3581,0.2947,0.2885
47,0.2049689440993789,0.21598552254561912,0.3665,0.2877,0.2937,0.23602484472049692,0.24749163879598668,0.441,0.3636,0.3655
48,0.22981366459627328,0.2429259589652097,0.3966,0.3281,0.3206,0.2484472049689441,0.26191462909241614,0.4689,0.4044,0.399
49,0.1863354037267081,0.2008408280559843,0.3505,0.2952,0.2889,0.1987577639751553,0.2124696356275304,0.3881,0.3443,0.3367
50,0.1863354037267081,0.20176318428971127,0.3321,0.2636,0.2667,0.1987577639751553,0.214354066985646,0.3817,0.3246,0.3218
51,0.16770186335403725,0.1760034634176511,0.3259,0.2772,0.273,0.2111801242236025,0.225629290617849,0.4109,0.3636,0.3606
