epoch,micro_f1,macro_f1,ndcg_at_5,mrr_at_5,map,micro_f1_yf,macro_f1_yf,ndcg_at_5_yf,mrr_at_5_yf,map_yf
56,0.23602484472049692,0.2315789473684211,0.5047,0.4886,0.4598,0.2670807453416149,0.2607187648661506,0.5476,0.5127,0.4933
57,0.2608695652173913,0.25438744291225124,0.5012,0.4667,0.4488,0.2795031055900621,0.27147909298939055,0.535,0.4965,0.4871
58,0.2484472049689441,0.24329954173031526,0.5338,0.511,0.4797,0.25465838509316774,0.24915897992403688,0.5472,0.5241,0.4981
59,0.25465838509316774,0.24868761049911606,0.5162,0.4868,0.4673,0.27329192546583847,0.2670493394673532,0.5371,0.5009,0.4886
60,0.25465838509316774,0.24978370583994233,0.5626,0.5491,0.5196,0.2795031055900621,0.2727498242857734,0.5701,0.5614,0.5267
61,0.23602484472049692,0.23188940092165905,0.5206,0.4952,0.4637,0.25465838509316774,0.24900212698556368,0.5332,0.5075,0.4795
62,0.19254658385093168,0.1914385964912281,0.4481,0.4373,0.4125,0.21739130434782605,0.21445404556166536,0.4813,0.4588,0.4414
63,0.1863354037267081,0.18481688091195733,0.4553,0.4171,0.4125,0.2049689440993789,0.20149578612490937,0.4767,0.4482,0.4368
64,0.2111801242236025,0.21024958756851683,0.5012,0.4737,0.4601,0.2484472049689441,0.24407779518849665,0.5629,0.5259,0.5175
65,0.2608695652173913,0.27030799821450313,0.5617,0.5513,0.5042,0.2919254658385093,0.30150167662924626,0.5929,0.5842,0.5345
66,0.2236024844720497,0.22077803203661334,0.4938,0.4627,0.451,0.2670807453416149,0.26756193177078996,0.5701,0.5412,0.5226
67,0.2608695652173913,0.269643148117973,0.4945,0.4649,0.4279,0.28571428571428575,0.29410795837388637,0.5687,0.5237,0.5038
68,0.21739130434782605,0.21521625846795212,0.4874,0.4702,0.4457,0.2484472049689441,0.25121627598407786,0.5302,0.4952,0.4788
69,0.21739130434782605,0.21551903474100276,0.4161,0.3781,0.36,0.2484472049689441,0.24667362971708828,0.4864,0.4342,0.422
70,0.22981366459627328,0.22618160131206208,0.4486,0.4075,0.398,0.2670807453416149,0.261190681622088,0.4879,0.4355,0.4222
71,0.23602484472049692,0.23235294117647062,0.4866,0.4579,0.4373,0.2608695652173913,0.2616833581930535,0.539,0.4895,0.4746
72,0.2670807453416149,0.26197207303974224,0.5698,0.5548,0.5151,0.2795031055900621,0.2826539837270548,0.6232,0.6009,0.5734
73,0.23602484472049692,0.23188940092165905,0.524,0.4947,0.473,0.25465838509316774,0.24900212698556368,0.5398,0.507,0.4839
74,0.23602484472049692,0.23142329020332722,0.5239,0.4895,0.473,0.25465838509316774,0.24852994555353908,0.546,0.5061,0.4939
